,missing_count,missing_percent,infinite_count,mean,median,std
2.60_48_CP,23,5.48,0,0.6297229219143576,1.0,0.4834881401024454
2.61_46_CP,23,5.48,0,0.3602015113350126,0.0,0.48066448082734714
2.62_44,23,5.48,0,0.02518891687657431,0.0,0.15689627622418548
2.63_43_CP,23,5.48,0,0.4005037783375315,0.0,0.49061880953910475
2.64_40_CP,23,5.48,0,0.6498740554156172,1.0,0.47761109475731434
2.65_38,23,5.48,0,0.27204030226700254,0.0,0.4455720626543936
2.66_37,23,5.48,0,0.060453400503778336,0.0,0.23862568627724498
2.67_27,23,5.48,0,0.17632241813602015,0.0,0.38157512045692
3.21_39_CP,23,5.48,0,0.0654911838790932,0.0,0.2477027239298786
3.22_43,23,5.48,0,0.06297229219143577,0.0,0.24321963250193943
3.23_45,23,5.48,0,0.027707808564231738,0.0,0.16434146290200577
3.24_47,23,5.48,0,0.06801007556675064,0.0,0.25208087506789123
3.25_48,23,5.48,0,0.2367758186397985,0.0,0.4256399609805026
3.26_48_CP,23,5.48,0,0.10075566750629723,0.0,0.30138473892675827
3.27_48,23,5.48,0,0.037783375314861464,0.0,0.19091254390398682
3.28_48_CP,23,5.48,0,0.3702770780856423,0.0,0.48348814010244534
3.29_48_CP,23,5.48,0,0.7229219143576826,1.0,0.44812012103579396
3.30_48_CP,23,5.48,0,0.10831234256926953,0.0,0.31116662718313587
3.31_48,23,5.48,0,0.04534005037783375,0.0,0.20831138728772125
3.32_48_CP,23,5.48,0,0.7052896725440806,1.0,0.4564877212097781
3.33_48_CP,23,5.48,0,0.5793450881612091,1.0,0.4942871352033974
3.34_48_CP,23,5.48,0,0.027707808564231738,0.0,0.16434146290200577
3.35_48,23,5.48,0,0.03526448362720403,0.0,0.18468029452244455
3.36_48_CP,23,5.48,0,0.40302267002518893,0.0,0.4911241814510695
3.37_48_CP,23,5.48,0,0.07808564231738035,0.0,0.2686448647451544
3.38_48,23,5.48,0,0.005037783375314861,0.0,0.0708876695915773
3.39_48,23,5.48,0,0.005037783375314861,0.0,0.0708876695915773
3.40_48_CP,23,5.48,0,0.005037783375314861,0.0,0.0708876695915773
3.41_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
3.42_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
3.43_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
3.44_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
3.45_48,23,5.48,0,0.0,0.0,0.0
3.46_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
3.47_48,23,5.48,0,0.0,0.0,0.0
3.48_48,23,5.48,0,0.0,0.0,0.0
3.49_48,23,5.48,0,0.0,0.0,0.0
3.50_48,23,5.48,0,0.0,0.0,0.0
3.51_48,23,5.48,0,0.0,0.0,0.0
3.52_48,23,5.48,0,0.0,0.0,0.0
3.53_48,23,5.48,0,0.0,0.0,0.0
3.54_48,23,5.48,0,0.0,0.0,0.0
3.55_46,23,5.48,0,0.0,0.0,0.0
3.56_42,23,5.48,0,0.0,0.0,0.0
4.38_42,23,5.48,0,0.0,0.0,0.0
4.39_43,23,5.48,0,0.0,0.0,0.0
4.40_44,23,5.48,0,0.0,0.0,0.0
4.41_48,23,5.48,0,0.0,0.0,0.0
4.42_48,23,5.48,0,0.0,0.0,0.0
4.43_48,23,5.48,0,0.0,0.0,0.0
4.44_48,23,5.48,0,0.0,0.0,0.0
4.45_48,23,5.48,0,0.0,0.0,0.0
4.46_48,23,5.48,0,0.0,0.0,0.0
4.47_48,23,5.48,0,0.0,0.0,0.0
4.48_48,23,5.48,0,0.0,0.0,0.0
4.49_48,23,5.48,0,0.0,0.0,0.0
